record_id,redcap_survey_identifier,scwg_workshop_evaluation_questionnaire_timestamp,date,workshop_may_17,workshop_may_18,workshop_may_19,workshop_may_24,workshop_may_25,workshop_may_26,workshop_may_27,workshop_1,workshop_2,workshop_3,workshop_5,workshop_6,workshop_7,workshop_8,amount,difficulty,pace,time,exercises,best,improve,job_title,job_title_other,job_description,job_description_other,job_comp_exper,source___1,source___2,source___3,source___4,source___5,source_other,comments,scwg_workshop_evaluation_questionnaire_complete
1,,"2016-05-16 21:49:30",1,1,,,,,,,5,5,5,5,5,5,5,0,0,0,0,0,"test delete","test delete",7,"test delete",8,"test delete",4,0,1,0,0,1,"test delete","test delete",2
2,,"2016-05-17 10:12:33",1,1,,,,,,,5,5,5,5,5,5,5,0,0,0,0,0,"Jon (and Ricardo) were super knowledgable and approachable. They each had a real knack for explaining computer-related concepts. Great instructors!","This is a tough session to run, as participants come with varying degrees of experience. If there were 'beginner' and 'intermediate' sessions, that might increase the relevance of topics discussed for each person in the room. That said, there were only 4 or 5 people in this session, so splitting such a small group may not be feasible.",2,,8,"Systematic reviews",1,0,0,0,0,1,"New hire research orientation",,2
3,,"2016-05-17 09:57:38",1,1,,,,,,,5,5,5,5,5,5,5,0,0,0,0,0,,,7,"Research Coordinator",5,,5,0,0,1,0,0,,,2
4,,"2016-05-17 11:16:05",1,2,,,,,,,5,5,5,3,4,5,5,0,-1,0,0,0,,,2,,2,,0,0,0,0,1,0,,,2
5,,"2016-05-17 11:16:02",1,2,,,,,,,5,5,5,5,5,5,5,0,0,0,0,0,,,5,,5,,4,0,0,0,0,0,,,2
6,,"2016-05-17 11:19:57",1,2,,,,,,,5,5,5,5,5,5,5,-1,0,0,0,0,"Learning through doing is great! Especially when it is made into a rewarding experience like a game! ","I think we could go into more depth of content or translate what these skills mean in programming program like when we would use coding such as this in programs like python. Overall this was a great learning experience!",2,,2,,0,0,0,0,1,0,,,2
7,,"2016-05-17 11:22:11",1,2,,,,,,,5,5,5,4,5,5,5,0,0,0,0,0,,,1,,4,,0,0,0,0,1,0,,,2
8,,"2016-05-17 11:42:51",1,2,,,,,,,5,5,5,5,5,5,5,0,0,0,0,0,,,7,"Research Coordinator",5,,5,0,0,1,0,0,,,2
9,,"2016-05-17 11:44:49",1,2,,,,,,,4,4,3,4,4,5,5,0,0,0,0,-1,"game was good way to learn, knowledgable instructors","talk a bit slower... maybe spend a bit more time understanding background before jumping in (I don't really know much about programming..)",2,,2,,0,0,0,1,1,0,,,2
10,,"2016-05-17 11:53:06",1,2,,,,,,,4,5,4,4,3,4,3,-1,-1,-1,1,-1,"Helpful tool introduced. Will continue to use codecombat to improve my coding skills. ","Include some theory--course was set-up so theory was extra, rather than the basis for playing the game. The examples at the end were helpful.",,,,,1,0,1,0,1,0,,,2
